,diseases,Symptom_labels
1379,anal fissure,"sharp abdominal pain, vaginal dryness, lower body pain, rectal bleeding, constipation"
1380,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, lower body pain, changes in stool appearance"
1381,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, changes in stool appearance"
1382,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, pain of the anus, lower body pain, changes in stool appearance, rectal bleeding, constipation"
1383,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness"
1384,anal fissure,"blood in stool, vaginal dryness, pain of the anus"
1385,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, changes in stool appearance"
1386,anal fissure,"sharp abdominal pain, vaginal dryness, pain of the anus, changes in stool appearance, rectal bleeding, constipation"
1387,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, changes in stool appearance, rectal bleeding"
1388,anal fissure,"blood in stool, sharp abdominal pain, pain of the anus, changes in stool appearance, rectal bleeding"
1389,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, pain of the anus, lower body pain, changes in stool appearance"
1390,anal fissure,"blood in stool, sharp abdominal pain, vaginal dryness, pain of the anus, lower body pain, changes in stool appearance, rectal bleeding"
1391,anal fissure,"vaginal dryness, pain of the anus, lower body pain, changes in stool appearance, rectal bleeding, constipation"
1392,anal fissure,"vaginal dryness, lower body pain, changes in stool appearance"
1393,anal fissure,"sharp abdominal pain, vaginal dryness, pain of the anus, lower body pain, changes in stool appearance, rectal bleeding"
1394,anal fissure,"sharp abdominal pain, vaginal dryness, pain of the anus, changes in stool appearance, rectal bleeding, constipation"
1395,anal fissure,"sharp abdominal pain, vaginal dryness, pain of the anus, changes in stool appearance, rectal bleeding"
1396,anal fissure,"blood in stool, vaginal dryness"
1397,anal fissure,"sharp abdominal pain, vaginal dryness, changes in stool appearance"
1398,anal fissure,"vaginal dryness, lower body pain, constipation"
1399,anal fissure,"sharp abdominal pain, vaginal dryness, rectal bleeding"
1400,anemia,"shortness of breath, melena, nosebleed"
1401,anemia,"shortness of breath, dizziness, fatigue, melena, nosebleed"
1402,anemia,"shortness of breath, vomiting blood, weakness, fatigue"
1403,anemia,"shortness of breath, dizziness, vomiting blood, weakness, changes in stool appearance, fatigue, melena"
1404,anemia,"shortness of breath, vomiting blood, weakness, changes in stool appearance, melena, nosebleed"
1405,anemia,"dizziness, vomiting blood, changes in stool appearance, nosebleed"
1406,anemia,"dizziness, vomiting blood, changes in stool appearance, fatigue, nosebleed"
1407,anemia,"dizziness, vomiting blood, weakness, changes in stool appearance, melena, nosebleed"
1408,anemia,"shortness of breath, weakness, changes in stool appearance, fatigue, melena, nosebleed"
1409,anemia,"vomiting blood, weakness, changes in stool appearance, fatigue, nosebleed"
1410,anemia,"shortness of breath, dizziness, vomiting blood, melena, nosebleed"
1411,anemia,"shortness of breath, dizziness, vomiting blood, weakness"
1412,anemia,"shortness of breath, dizziness, changes in stool appearance, melena"
1413,anemia,"dizziness, vomiting blood, weakness, changes in stool appearance, melena"
1414,anemia,"shortness of breath, vomiting blood, weakness, changes in stool appearance, melena, nosebleed"
1415,anemia,"shortness of breath, vomiting blood, weakness, changes in stool appearance, melena"
1416,anemia,"shortness of breath, weakness, changes in stool appearance, fatigue, nosebleed"
1417,anemia,"shortness of breath, dizziness, vomiting blood, weakness, changes in stool appearance, fatigue, melena"
1418,anemia,"shortness of breath, dizziness, weakness, changes in stool appearance, melena, nosebleed"
1419,anemia,"shortness of breath, dizziness, weakness, changes in stool appearance, melena"
1420,anemia,"vomiting blood, weakness, changes in stool appearance, fatigue, nosebleed"
1421,anemia,"dizziness, vomiting blood, fatigue, melena, nosebleed"
1422,anemia,"vomiting blood, changes in stool appearance, fatigue, melena, nosebleed"
1423,anemia,"vomiting blood, weakness, changes in stool appearance, fatigue, melena"
1424,anemia,"shortness of breath, dizziness, vomiting blood, weakness, changes in stool appearance, melena, nosebleed"
1425,anemia,"weakness, changes in stool appearance, fatigue, nosebleed"
1426,anemia,"dizziness, vomiting blood, changes in stool appearance, fatigue, melena, nosebleed"
1427,anemia,"dizziness, weakness, changes in stool appearance, nosebleed"
1428,anemia,"vomiting blood, changes in stool appearance, fatigue, melena"
1429,anemia,"dizziness, vomiting blood, weakness, melena"
1430,anemia,"dizziness, vomiting blood"
1431,anemia,"shortness of breath, weakness, changes in stool appearance, fatigue, nosebleed"
1432,anemia,"dizziness, vomiting blood, changes in stool appearance, fatigue, melena, nosebleed"
1433,anemia,"dizziness, vomiting blood, changes in stool appearance, melena, nosebleed"
1434,anemia,"dizziness, vomiting blood, changes in stool appearance, fatigue, melena, nosebleed"
1435,anemia,"dizziness, vomiting blood, weakness, changes in stool appearance, fatigue"
1436,anemia,"shortness of breath, changes in stool appearance, nosebleed"
1437,anemia,"shortness of breath, dizziness, vomiting blood, changes in stool appearance, melena"
1438,anemia,"vomiting blood, weakness, melena, nosebleed"
1439,anemia,"shortness of breath, weakness, changes in stool appearance, fatigue, melena, nosebleed"
1440,anemia,"shortness of breath, dizziness, nosebleed"
1441,anemia,"shortness of breath, vomiting blood, weakness, changes in stool appearance, nosebleed"
1442,anemia,"vomiting blood, weakness, melena, nosebleed"
1443,anemia,"shortness of breath, dizziness, weakness, changes in stool appearance, fatigue, melena, nosebleed"
1444,anemia,"shortness of breath, dizziness, vomiting blood, changes in stool appearance, melena, nosebleed"
1445,anemia,"dizziness, weakness, changes in stool appearance, fatigue, nosebleed"
1446,anemia,"dizziness, vomiting blood, weakness, changes in stool appearance, nosebleed"
1447,anemia,"dizziness, weakness, changes in stool appearance, fatigue"
1448,anemia,"dizziness, changes in stool appearance, fatigue, melena, nosebleed"
1449,anemia,"shortness of breath, dizziness, vomiting blood, changes in stool appearance, melena"
1450,anemia due to chronic kidney disease,"recent weight loss, weakness, fatigue"
1451,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, ankle swelling"
1452,anemia due to chronic kidney disease,"recent weight loss, weakness"
1453,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, fatigue"
1454,anemia due to chronic kidney disease,"recent weight loss, weakness"
1455,anemia due to chronic kidney disease,"shortness of breath, peripheral edema"
1456,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, fatigue, ankle swelling"
1457,anemia due to chronic kidney disease,"recent weight loss, weakness, ankle swelling"
1458,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, fatigue, ankle swelling"
1459,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, ankle swelling"
1460,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness, ankle swelling"
1461,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, weakness"
1462,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness"
1463,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, fatigue, ankle swelling"
1464,anemia due to chronic kidney disease,"fatigue, ankle swelling"
1465,anemia due to chronic kidney disease,"shortness of breath, recent weight loss"
1466,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness, fatigue"
1467,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, weakness, ankle swelling"
1468,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, fatigue"
1469,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, fatigue, ankle swelling"
1470,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness, fatigue"
1471,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, weakness, fatigue, ankle swelling"
1472,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss"
1473,anemia due to chronic kidney disease,"peripheral edema, weakness, fatigue"
1474,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness, ankle swelling"
1475,anemia due to chronic kidney disease,"recent weight loss, weakness"
1476,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness, fatigue"
1477,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness, ankle swelling"
1478,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, weakness, fatigue"
1479,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, weakness, fatigue, ankle swelling"
1480,anemia due to chronic kidney disease,"recent weight loss, weakness, fatigue, ankle swelling"
1481,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, fatigue"
1482,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, weakness, fatigue"
1483,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness"
1484,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness, ankle swelling"
1485,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, weakness, ankle swelling"
1486,anemia due to chronic kidney disease,"peripheral edema, fatigue"
1487,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, weakness"
1488,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness, fatigue, ankle swelling"
1489,anemia due to chronic kidney disease,"recent weight loss, fatigue, ankle swelling"
1490,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness"
1491,anemia due to chronic kidney disease,"peripheral edema, recent weight loss, weakness"
1492,anemia due to chronic kidney disease,"weakness, fatigue"
1493,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness"
1494,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, weakness, fatigue, ankle swelling"
1495,anemia due to chronic kidney disease,"recent weight loss, weakness, ankle swelling"
1496,anemia due to chronic kidney disease,"shortness of breath, recent weight loss, fatigue"
1497,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, weakness, ankle swelling"
1498,anemia due to chronic kidney disease,"recent weight loss, weakness, fatigue, ankle swelling"
1499,anemia due to chronic kidney disease,"shortness of breath, peripheral edema, recent weight loss, ankle swelling"
1500,angina,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, hot flashes, arm pain, increased heart rate, lower body pain, sweating"
1501,angina,"shortness of breath, sharp chest pain, dizziness, chest tightness, hot flashes, arm pain, increased heart rate, lower body pain"
1502,angina,"sharp chest pain, chest tightness, hot flashes, increased heart rate, lower body pain"
1503,angina,"sharp chest pain, dizziness, chest tightness, hot flashes, arm pain, lower body pain, sweating"
1504,angina,"shortness of breath, hot flashes, increased heart rate, lower body pain"
1505,angina,"shortness of breath, chest tightness, irregular heartbeat, hot flashes, increased heart rate, sweating"
1506,angina,"dizziness, chest tightness, palpitations, irregular heartbeat, increased heart rate"
1507,angina,"shortness of breath, dizziness, hot flashes, arm pain, increased heart rate, lower body pain"
1508,angina,"shortness of breath, dizziness, chest tightness, palpitations, hot flashes, lower body pain"
1509,angina,"shortness of breath, sharp chest pain, dizziness, palpitations, irregular heartbeat, hot flashes, lower body pain, sweating"
1510,angina,"chest tightness, palpitations, hot flashes, arm pain"
1511,angina,"shortness of breath, dizziness, palpitations, irregular heartbeat, increased heart rate, sweating"
1512,angina,"shortness of breath, dizziness, chest tightness, irregular heartbeat, hot flashes"
1513,angina,"shortness of breath, chest tightness, hot flashes"
1514,angina,"shortness of breath, irregular heartbeat, hot flashes, arm pain, increased heart rate"
1515,angina,"chest tightness, palpitations, irregular heartbeat, arm pain, sweating"
1516,angina,"shortness of breath, dizziness, chest tightness, palpitations, arm pain"
1517,angina,"chest tightness, irregular heartbeat, hot flashes, arm pain, increased heart rate, sweating"
1518,angina,"shortness of breath, sharp chest pain, dizziness, palpitations, irregular heartbeat, hot flashes, arm pain, lower body pain, sweating"
1519,angina,"dizziness, chest tightness, hot flashes, arm pain, increased heart rate, lower body pain, sweating"
1520,angina,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, hot flashes, sweating"
1521,angina,"shortness of breath, sharp chest pain, chest tightness, irregular heartbeat, increased heart rate, sweating"
1522,angina,"shortness of breath, irregular heartbeat, arm pain"
1523,angina,"palpitations, irregular heartbeat, hot flashes, increased heart rate, sweating"
1524,angina,"shortness of breath, dizziness, palpitations, sweating"
1525,angina,"shortness of breath, sharp chest pain, dizziness, lower body pain, sweating"
1526,angina,"sharp chest pain, hot flashes, increased heart rate, lower body pain"
1527,angina,"sharp chest pain, palpitations, hot flashes, arm pain"
1528,angina,"shortness of breath, dizziness, chest tightness, palpitations, hot flashes, lower body pain"
1529,angina,"sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, hot flashes, arm pain, increased heart rate"
1530,angina,"shortness of breath, chest tightness, arm pain, increased heart rate, sweating"
1531,angina,"shortness of breath, chest tightness, irregular heartbeat, hot flashes, arm pain, sweating"
1532,angina,"shortness of breath, dizziness, chest tightness, irregular heartbeat, hot flashes, increased heart rate"
1533,angina,"shortness of breath, sharp chest pain, chest tightness, arm pain, lower body pain, sweating"
1534,angina,"sharp chest pain, dizziness, irregular heartbeat, hot flashes"
1535,angina,"shortness of breath, sharp chest pain, hot flashes, increased heart rate, lower body pain"
1536,angina,"shortness of breath, sharp chest pain, hot flashes, lower body pain, sweating"
1537,angina,"shortness of breath, chest tightness, palpitations, irregular heartbeat, hot flashes, arm pain, increased heart rate, lower body pain"
1538,angina,"dizziness, chest tightness, palpitations, irregular heartbeat, hot flashes, increased heart rate, lower body pain"
1539,angina,"sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, arm pain, increased heart rate"
1540,angina,"hot flashes, arm pain, increased heart rate, sweating"
1541,angina,"dizziness, chest tightness, palpitations, irregular heartbeat, increased heart rate, lower body pain"
1542,angina,"sharp chest pain, palpitations, irregular heartbeat, arm pain, increased heart rate, sweating"
1543,angina,"shortness of breath, sharp chest pain, chest tightness, hot flashes, increased heart rate, lower body pain, sweating"
1544,angina,"shortness of breath, sharp chest pain, dizziness, palpitations, irregular heartbeat, arm pain, sweating"
1545,angina,"shortness of breath, sharp chest pain, dizziness, irregular heartbeat, hot flashes, increased heart rate, lower body pain"
1546,angina,"hot flashes, arm pain, increased heart rate, sweating"
1547,angina,"sharp chest pain, irregular heartbeat, arm pain, sweating"
1548,angina,"shortness of breath, sharp chest pain, dizziness, chest tightness, palpitations, hot flashes, increased heart rate, lower body pain"
1549,angina,"dizziness, irregular heartbeat, hot flashes, arm pain"
1550,ankylosing spondylitis,"back pain, low back pain, elbow pain, paresthesia, lower body pain"
1551,ankylosing spondylitis,"leg pain, hip pain, back pain, elbow pain, ache all over"
1552,ankylosing spondylitis,"low back pain, knee pain, paresthesia, ache all over, lower body pain"
1553,ankylosing spondylitis,"back pain, lower body pain"
1554,ankylosing spondylitis,"leg pain, hip pain, back pain, low back pain, lower body pain"
1555,ankylosing spondylitis,"low back pain, paresthesia, ache all over"
1556,ankylosing spondylitis,"leg pain, back pain, elbow pain, paresthesia, ache all over, lower body pain, stiffness all over"
1557,ankylosing spondylitis,"leg pain, hip pain, low back pain, paresthesia, ache all over"
1558,ankylosing spondylitis,"hip pain, back pain, low back pain, paresthesia"
1559,ankylosing spondylitis,"hip pain, back pain, elbow pain, paresthesia, ache all over, lower body pain, stiffness all over"
1560,ankylosing spondylitis,"low back pain, elbow pain, paresthesia, ache all over, lower body pain, stiffness all over"
1561,ankylosing spondylitis,"leg pain, back pain, elbow pain, paresthesia, stiffness all over"
1562,ankylosing spondylitis,"hip pain, back pain, knee pain, elbow pain, paresthesia, lower body pain"
1563,ankylosing spondylitis,"leg pain, back pain, low back pain, knee pain"
1564,ankylosing spondylitis,"low back pain, paresthesia, ache all over, lower body pain"
1565,ankylosing spondylitis,"low back pain, knee pain, paresthesia, lower body pain, stiffness all over"
1566,ankylosing spondylitis,"back pain, elbow pain, paresthesia, ache all over, stiffness all over"
1567,ankylosing spondylitis,"hip pain, lower body pain"
1568,ankylosing spondylitis,"back pain, knee pain, paresthesia, lower body pain, stiffness all over"
1569,ankylosing spondylitis,"back pain, elbow pain, lower body pain"
1570,ankylosing spondylitis,"low back pain, elbow pain, paresthesia, ache all over"
1571,ankylosing spondylitis,"hip pain, back pain, knee pain, elbow pain, lower body pain"
1572,ankylosing spondylitis,"low back pain, elbow pain, paresthesia, lower body pain"
1573,ankylosing spondylitis,"paresthesia, lower body pain, stiffness all over"
1574,ankylosing spondylitis,"low back pain, stiffness all over"
1575,ankylosing spondylitis,"knee pain, lower body pain, stiffness all over"
1576,ankylosing spondylitis,"leg pain, low back pain, knee pain, elbow pain, paresthesia, stiffness all over"
1577,ankylosing spondylitis,"hip pain, low back pain, elbow pain, paresthesia, lower body pain"
1578,ankylosing spondylitis,"leg pain, hip pain, low back pain, paresthesia, lower body pain"
1579,ankylosing spondylitis,"hip pain, back pain, low back pain, knee pain, elbow pain, paresthesia, lower body pain, stiffness all over"
1580,ankylosing spondylitis,"back pain, paresthesia, ache all over, lower body pain, stiffness all over"
1581,ankylosing spondylitis,"leg pain, hip pain, low back pain, elbow pain, lower body pain"
1582,ankylosing spondylitis,"hip pain, low back pain, ache all over, lower body pain"
1583,ankylosing spondylitis,"leg pain, hip pain, knee pain, elbow pain, paresthesia, lower body pain"
1584,ankylosing spondylitis,"elbow pain, paresthesia, ache all over"
1585,ankylosing spondylitis,"leg pain, back pain, low back pain, knee pain, elbow pain, paresthesia, ache all over, stiffness all over"
1586,ankylosing spondylitis,"leg pain, hip pain, low back pain, knee pain, paresthesia, ache all over, lower body pain, stiffness all over"
1587,ankylosing spondylitis,"knee pain, elbow pain, paresthesia, ache all over, lower body pain"
1588,ankylosing spondylitis,"leg pain, hip pain, knee pain, elbow pain, ache all over, stiffness all over"
1589,ankylosing spondylitis,"hip pain, back pain, low back pain, paresthesia, ache all over, lower body pain"
1590,ankylosing spondylitis,"hip pain, back pain, knee pain, elbow pain, paresthesia, ache all over, lower body pain"
1591,ankylosing spondylitis,"leg pain, hip pain, low back pain, knee pain, paresthesia, stiffness all over"
1592,ankylosing spondylitis,"leg pain, hip pain, back pain, low back pain, paresthesia, lower body pain"
1593,ankylosing spondylitis,"back pain, low back pain, knee pain, ache all over, lower body pain"
1594,ankylosing spondylitis,"leg pain, low back pain, elbow pain, paresthesia, ache all over, lower body pain"
1595,ankylosing spondylitis,"back pain, low back pain, knee pain, elbow pain, paresthesia, stiffness all over"
1596,ankylosing spondylitis,"knee pain, elbow pain, paresthesia, ache all over, stiffness all over"
1597,ankylosing spondylitis,"back pain, paresthesia, ache all over, stiffness all over"
1598,ankylosing spondylitis,"leg pain, hip pain, back pain, elbow pain, paresthesia"
1599,ankylosing spondylitis,"hip pain, back pain, low back pain, knee pain, elbow pain, ache all over, lower body pain"
1600,anxiety,"anxiety and nervousness, sharp chest pain, insomnia, palpitations, irregular heartbeat, headache, increased heart rate, fears and phobias"
1601,anxiety,"depression, shortness of breath, insomnia, abnormal involuntary movements, headache, fears and phobias"
1602,anxiety,"anxiety and nervousness, depressive or psychotic symptoms, palpitations, headache"
1603,anxiety,"depression, shortness of breath, depressive or psychotic symptoms, sharp chest pain, abnormal involuntary movements, increased heart rate"
1604,anxiety,"depression, shortness of breath, depressive or psychotic symptoms, sharp chest pain, headache"
1605,anxiety,"shortness of breath, depressive or psychotic symptoms, palpitations, irregular heartbeat, fears and phobias"
1606,anxiety,"shortness of breath, irregular heartbeat, headache"
1607,anxiety,"depressive or psychotic symptoms, abnormal involuntary movements, irregular heartbeat"
1608,anxiety,"depression, shortness of breath, sharp chest pain, palpitations, irregular heartbeat, increased heart rate"
1609,anxiety,"depression, depressive or psychotic symptoms, irregular heartbeat, headache, increased heart rate"
1610,anxiety,"shortness of breath, depressive or psychotic symptoms, headache"
1611,anxiety,"anxiety and nervousness, depression, depressive or psychotic symptoms, irregular heartbeat, headache"
1612,anxiety,"shortness of breath, depressive or psychotic symptoms, sharp chest pain, abnormal involuntary movements, palpitations, irregular heartbeat, headache"
1613,anxiety,"shortness of breath, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, headache, increased heart rate, fears and phobias"
1614,anxiety,"anxiety and nervousness, depression, sharp chest pain, insomnia, palpitations, irregular heartbeat, increased heart rate, fears and phobias"
1615,anxiety,"anxiety and nervousness, insomnia, abnormal involuntary movements, palpitations, headache"
1616,anxiety,"anxiety and nervousness, shortness of breath, sharp chest pain, abnormal involuntary movements, palpitations, headache"
1617,anxiety,"depression, sharp chest pain, abnormal involuntary movements, headache"
1618,anxiety,"anxiety and nervousness, depressive or psychotic symptoms, sharp chest pain, insomnia, abnormal involuntary movements, irregular heartbeat, headache, increased heart rate"
1619,anxiety,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, palpitations, increased heart rate"
1620,anxiety,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abnormal involuntary movements, palpitations"
1621,anxiety,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, irregular heartbeat, fears and phobias"
1622,anxiety,"depression, shortness of breath, depressive or psychotic symptoms, irregular heartbeat, headache"
1623,anxiety,"sharp chest pain, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat"
1624,anxiety,"depression, shortness of breath, depressive or psychotic symptoms, palpitations, increased heart rate, fears and phobias"
1625,anxiety,"anxiety and nervousness, shortness of breath, insomnia, abnormal involuntary movements, fears and phobias"
1626,anxiety,"depression, shortness of breath, abnormal involuntary movements, increased heart rate, fears and phobias"
1627,anxiety,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, abnormal involuntary movements, palpitations"
1628,anxiety,"depression, depressive or psychotic symptoms, sharp chest pain, abnormal involuntary movements, palpitations, irregular heartbeat, fears and phobias"
1629,anxiety,"anxiety and nervousness, depression, depressive or psychotic symptoms, sharp chest pain, insomnia, palpitations, fears and phobias"
1630,anxiety,"shortness of breath, insomnia, abnormal involuntary movements, irregular heartbeat, fears and phobias"
1631,anxiety,"anxiety and nervousness, depression, shortness of breath, sharp chest pain, insomnia, palpitations, irregular heartbeat, headache, increased heart rate"
1632,anxiety,"shortness of breath, depressive or psychotic symptoms, sharp chest pain, insomnia, fears and phobias"
1633,anxiety,"depressive or psychotic symptoms, sharp chest pain, insomnia, palpitations, irregular heartbeat, fears and phobias"
1634,anxiety,"anxiety and nervousness, depression, sharp chest pain, insomnia, abnormal involuntary movements, palpitations, irregular heartbeat, fears and phobias"
1635,anxiety,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, palpitations, irregular heartbeat, headache, increased heart rate"
1636,anxiety,"anxiety and nervousness, depressive or psychotic symptoms, sharp chest pain, abnormal involuntary movements, palpitations, headache, increased heart rate, fears and phobias"
1637,anxiety,"anxiety and nervousness, depressive or psychotic symptoms, sharp chest pain, palpitations, fears and phobias"
1638,anxiety,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, sharp chest pain, palpitations, headache, fears and phobias"
1639,anxiety,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, irregular heartbeat, increased heart rate, fears and phobias"
1640,anxiety,"depression, abnormal involuntary movements, irregular heartbeat, headache"
1641,anxiety,"anxiety and nervousness, depressive or psychotic symptoms, abnormal involuntary movements, palpitations, irregular heartbeat, headache, increased heart rate, fears and phobias"
1642,anxiety,"sharp chest pain, abnormal involuntary movements, irregular heartbeat, headache, increased heart rate"
1643,anxiety,"anxiety and nervousness, shortness of breath, abnormal involuntary movements, palpitations, irregular heartbeat, headache, increased heart rate, fears and phobias"
1644,anxiety,"depression, insomnia, abnormal involuntary movements"
1645,anxiety,"anxiety and nervousness, depression, depressive or psychotic symptoms, sharp chest pain, insomnia, abnormal involuntary movements, palpitations, headache"
1646,anxiety,"anxiety and nervousness, shortness of breath, depressive or psychotic symptoms, insomnia, palpitations, headache"
1647,anxiety,"shortness of breath, sharp chest pain, insomnia, abnormal involuntary movements, palpitations, headache, fears and phobias"
1648,anxiety,"anxiety and nervousness, shortness of breath, sharp chest pain, abnormal involuntary movements, headache, increased heart rate"
1649,anxiety,"depression, shortness of breath, depressive or psychotic symptoms, insomnia, irregular heartbeat, headache, fears and phobias"
1650,aortic valve disease,"sharp chest pain, irregular heartbeat, groin mass, fainting, difficulty breathing"
1651,aortic valve disease,"sharp chest pain, irregular heartbeat, groin mass, peripheral edema"
1652,aortic valve disease,"shortness of breath, irregular heartbeat, peripheral edema, difficulty breathing"
1653,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, fainting, peripheral edema"
1654,aortic valve disease,"shortness of breath, palpitations, groin mass, fainting, lymphedema"
1655,aortic valve disease,"shortness of breath, sharp chest pain, irregular heartbeat, fainting, difficulty breathing"
1656,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, groin mass, fainting, peripheral edema"
1657,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, groin mass, peripheral edema, difficulty breathing"
1658,aortic valve disease,"sharp chest pain, groin mass, difficulty breathing"
1659,aortic valve disease,"palpitations, irregular heartbeat, fainting, difficulty breathing, lymphedema"
1660,aortic valve disease,"sharp chest pain, palpitations, fainting, peripheral edema, lymphedema"
1661,aortic valve disease,"irregular heartbeat, groin mass, peripheral edema, lymphedema"
1662,aortic valve disease,"shortness of breath, irregular heartbeat, lymphedema"
1663,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, fainting, peripheral edema, difficulty breathing"
1664,aortic valve disease,"sharp chest pain, irregular heartbeat, groin mass"
1665,aortic valve disease,"shortness of breath, fainting, peripheral edema"
1666,aortic valve disease,"sharp chest pain, irregular heartbeat, groin mass, fainting, peripheral edema, difficulty breathing"
1667,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, groin mass, peripheral edema"
1668,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, groin mass, fainting"
1669,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, groin mass, fainting, lymphedema"
1670,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, fainting, difficulty breathing"
1671,aortic valve disease,"irregular heartbeat, groin mass, fainting"
1672,aortic valve disease,"shortness of breath, palpitations, difficulty breathing, lymphedema"
1673,aortic valve disease,"shortness of breath, sharp chest pain, irregular heartbeat, groin mass, fainting, difficulty breathing, lymphedema"
1674,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, fainting, peripheral edema, difficulty breathing, lymphedema"
1675,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, groin mass, peripheral edema, lymphedema"
1676,aortic valve disease,"irregular heartbeat, peripheral edema, difficulty breathing, lymphedema"
1677,aortic valve disease,"shortness of breath, sharp chest pain, fainting, difficulty breathing"
1678,aortic valve disease,"palpitations, irregular heartbeat, fainting, peripheral edema, difficulty breathing"
1679,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, peripheral edema, difficulty breathing"
1680,aortic valve disease,"shortness of breath, groin mass"
1681,aortic valve disease,"shortness of breath, palpitations, irregular heartbeat, groin mass, fainting, peripheral edema, lymphedema"
1682,aortic valve disease,"shortness of breath, irregular heartbeat, difficulty breathing"
1683,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, fainting, difficulty breathing, lymphedema"
1684,aortic valve disease,"sharp chest pain, irregular heartbeat, peripheral edema"
1685,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, peripheral edema"
1686,aortic valve disease,"shortness of breath, palpitations, irregular heartbeat, groin mass, fainting, peripheral edema, lymphedema"
1687,aortic valve disease,"shortness of breath, irregular heartbeat, groin mass, fainting"
1688,aortic valve disease,"palpitations, irregular heartbeat, groin mass, fainting, difficulty breathing, lymphedema"
1689,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, fainting, peripheral edema, difficulty breathing, lymphedema"
1690,aortic valve disease,"shortness of breath, sharp chest pain, palpitations, irregular heartbeat, difficulty breathing"
1691,aortic valve disease,"sharp chest pain, palpitations, irregular heartbeat, groin mass"
